Question,A,B,C,D,Answer
A village lost 12 of its goats in a flood and 5 of remainder died from diseases If the number left now is 8360 What was the original number before the flood ,1000,10000,100000,8360,B
If basis points are defined so that 1 percent is equal to 100 basis points then by how many basis points is 82 5 percent greater than 62 5 percent 1,0.2,20,200,2000,D
The average marks obtained in a class of 50 students is 70 The average of first 25 is 60 and that of 24 is 80 What is the mark obtained by the last student ,90%,60%,80%,70%,C
If 50 of P Q 30 of P Q and Q x of P then the value of x is ,30,25,20,50,B
If x of a is the same as y of b then z of b will be ,,,,,B
A candidate who gets 20 marks in a examination fails by 30 marks but another candidate who gets 32 gets 42 marks more than the pass marks Then the percentage of pass marks is ,52%,50%,33%,25%,D
A man gives 50 of his money to his son and 30 to his daughter 80 of the rest is donate to a trust If he is left with 16000 now how much money did he have in the beginning ,Rs. 400000,Rs. 40000,Rs. 90000,Rs. 80000,A
Each side of a rectangular field is diminished by 40 By how much percent is the area of the field diminished ,32%,64%,25%,16%,B
There is a ratio of 5 4 between two numbers If 40 of the first number is 12 then what would be 50 of the second number ,12,24,18,Data Inadequate,A
The ratio of number of boys and girls in a school 720 students is 7 5 How many more girls should be admitted to make the ratio 1 1 ,90,120,220,240,B
On a certain date Pakistan has a success rate of 60 against India in all the ODI s played between the two countries The lost the next 30 ODI s In a row to India and their success rate comes down to 30 The total number of ODI s played between the two countries is ,50,45,60,30,C
,1200,2400,3000,3200,B
If y of one hour is 1 minute 12 seconds then y is equal to ,2,1,,,A
When the price of an article was reduce by 20 its sale increased by 80 What was the net effect on the sale ,44% increase,44% decrease,66% increase,75% increase,A
In an examination 34 failed in Mathematics and 42 failed in English If 20 failed in both the subjects the percentage of students who passed in both subjects was ,54%,50%,44%,56%,C
In an election there were only two candidates One of the candidate secured 40 of votes and is defeated by the other candidate by 298 votes The total number of votes polled is ,745,1460,1490,1500,C
In what ratio must a mixture of 30 alcohol strength be mixed with that of 50 alcohol strength so as get a mixture of 45 alcohol strength ,1:02,1:03,2:01,3:01,B
The cost of an article worth Rs 100 is increased by 10 first and again increased by 10 The total increase in rupees is ,20,21,110,121,B
25 of the candidates who appeared in an examination failed and only 450 students qualify the exam The number of students who appeared in the examination was ,700,600,550,500,B
In an assembly election a candidate got 55 of the total valid votes 2 of the total votes were declared invalid If the total number of voters is 104000 then the number of valid votes polled in favour of the candidate is ,56506,56650,56560,56056,D
In an examination 1100 boys and 900 girls appeared 50 of the boys and 40 of the girls passed the examination The percentage of candidates who failed ,45%,45.50%,50%,54.50%,D
Christy donated 10 of his income to an orphanage and deposited 20 of the remainder in his bank If he has now Rs 7200 left what is his income ,Rs. 10000,Rs. 8000,Rs. 9000,Rs. 8500,A
If 60 of A s income is equal to 75 of B s income then B s income is equal to x of A s income The value of x is ,70,60,80,90,C
What is 20 of 25 of 300 ,150,60,45,15,D
0 001 is equivalent to ,10%,1%,0.01%,0.10%,D
What percentage of 3 6 kg is 72 gms ,32%,22%,12%,2%,D
The tax imposed on an article is decreased by 10 and its consumption is increased by 10 Find the percentage change in revenue from it ,10% increase,2% decrease,1% decrease,11% increase,C
0 01 is what percent of 0 1 ,10%,,100%,,A
One fifth of half of a number is 20 Then 20 of that number is ,80,60,20,40,D
In a class the number of girls is 20 more than that of the boys The strength of the class is 66 If 4 more girls are admitted to the class the ratio of the number of boys to that of the girls is ,1:02,3:04,1:04,3:05,B
If P of P is 36 then P is equal to ,3600,600,60,15,C
If A is equal to 20 of B and B is equal to 25 of C Then what percentage of C equal to A ,10%,15%,5%,20%,C
In an election between two candidates one got 55 of the total valid votes 20 of the votes were invalid If the total number of votes was 7500 the number of valid votes that the other candidate got was ,2700,2900,3000,3100,A
Three candidates contested an election and received 1136 7636 and 11628 votes respectively What percentage of the total votes did the winning candidate get ,57%,60%,65%,90%,A
Two tailors X and Y are paid a total of Rs 550 per week by their employer If X is paid 120 percent of the sum paid to Y how much is Y paid per week ,Rs. 200,Rs. 250,Rs. 300,None of these,B
Gauri went to the stationers and bought things worth Rs 25 out of which 30 paise went on sales tax on taxable purchases If the tax rate was 6 then what was the cost of the tax free items ,Rs. 15,Rs. 15.70,Rs. 19.70,Rs. 20,C
Rajeev buys good worth Rs 6650 He gets a rebate of 6 on it After getting the rebate he pays sales tax 10 Find the amount he will have to pay for the goods ,Rs. 6876.10,Rs. 6999.20,Rs. 6654,Rs. 7000,A
When 605 of a number is subtracted from another number the second number reduces to its 52 the ratio of the first number to the second number is ,6:05,5:03,5:04,4:05,D
The of the number of boys and girls in school at 8 12 If 50 of boys and 25 of girls are getting scholarship for their studies what is the percentage of school students who are not getting any scholarships ,65%,66%,67%,68%,A
In an examination there were 640 boys and 360 girls 60 of boys and 80 of were successful The percentage of failure was ,20%,60%,30.50%,32.80%,D
In an election between two candidates 75 of the voters cast their votes out of which 2 votes were declared invalid A candidate got 9261 votes which were 75 of the valid votes The total number of voters enrolled in that election was ,16000,16400,16800,18000,C
1 litre of ware is added to 5 litres of alcohol water solution containing 40 alcohol strength The strength of alcohol in the new solution will be ,30%,33%,,,D
The length of a rectangle is increased by 10 and breadth decreased by 10 Then the area of the new rectangle is ,Neither decreased nor increased,Increased by 1%,Decreased by 1%,Decreased 10%,C
The price of an article was first increased by 10 and then again by 20 If the last increased price was Rs 33 the original price was ,Rs. 30,Rs. 27.50,Rs. 26.50,Rs. 25,D
The price of a commodity rises from Rs 6 per kg to Rs 7 50 per kg If the expenditure cannot increase the percentage of reduction in consumption is ,15%,20%,25%,30%,B
What of a day is 30 minutes ,2.83,2.083,2.09,2.075,B
A scored 72 in a paper with a maximum marks of 900 and 80 in another paper with a maximum marks of 700 If the result is based on the combined percentage of two papers the combined percentage is ,75.50%,76%,76.50%,77%,A
The weight of an empty bucket is 25 of the weight of the bucket when filled with some liquid Some of the liquid has been removed Then the bucket along with the remaining liquid weighed three fifths of the original weight What percentage of the liquid has been removed ,40%,,,,D
,20%,,40%,70%,B
The ratio 5 4 expressed as a percent equals ,12.50%,40%,80%,125%,D
Solve 550 of 250 275 ,15,1.5,0.5,None of these,D
270 candidates appeared for an examination of which 252 passed The pass percentage is ,80%,,,,D
Depreciation applicable to an equipment is 20 The value of the equipment 3 years from now will be less by ,45%,48.80%,51.20%,60%,B
In a hotel 60 had vegetarian lunch while 30 had non vegetarian lunch and 15 had both types of lunch If 96 people were present how many did not eat either type of lunch ,20,24,26,28,B
1 litre of water is added to 5 litres of alcohol water solution containing 40 alcohol strength The strength of alcohol in the new solution will be ,$$30\% $$,,,$$33\% $$,B
Solve this 30 of 1225 64 of 555 ,10.7,12.3,13.4,None of these,B
One litre of water is evaporated from a 6 litre solution containing 4 sugar The percentage of sugar in the remaining solution is ,,$$4\% $$,,$$5\% $$,C
x of x is the same as 10 of ,,,,None of these,B
In a certain organisation 40 employees are matriculates 50 of the remaining are graduates and the remaining 180 are post graduates What is the number of graduate employees ,180,240,300,360,A
In an examination in which full marks were 800 A gets 20 more than B B gets 20 more than C and C gets 15 less than D If A got 576 what percentage of full marks did D get approximately ,45.73,51.27,58.82,61.71,C
the price of an article is reduced by 25 In order to retain the original price the present price has to be increased by ,20%,25%,,50%,C
A person s salary is decreased by steps of 20 15 and 10 Approximately by what percent should the reduced salary be increases so as to get back the original salary ,39%,44%,56%,63%,D
In a city 35 of the population is composed of migrants 20 of whom are from rural areas Of the local population 48 is female while this figure for rural and urban migrants is 30 and 40 respectively What percentage of the total population comprises of females ,42.75%,44.50%,48%,None of these,B
A person speeds 75 of his income If his income increase by 20 and expenses increase by 15 his saving will increase by ,,$$20$$%,,$$35$$%,D
The population of a town is 1771561 If it had been increasing at 10 per annum its population 6 years ago was ,1000000,1100000,1210000,1331000,A
In some quantity of ghee 60 is pure ghee and 40 is vanaspati If 10 kg pure ghee is added then the strength of vanaspati ghee becomes 20 The original quantity was ,10 kg,15 kg ,20 kg ,25 kg,A
,16%,18%,205,27%,D
,,,,,B
At the college entrance examination each candidate is admitted or rejected according to whether he has passed or failed the tests Of the candidates who are really capable 80 pass the tests and of the incapable 25 pass the test Given that 40 of the incapable 25 pass the test Given that 40 of the candidates are really capable the proportion of capable college students is about ,68%,70%,73%,75%,A
What percent of 7 2 kg is 18 gms ,0.03%,0.25%,2.50%,25%,B
 of 450 46 of 285 275 1,31,28,32,34,B
Anand has drawn an angle of measure 45 27 when he was asked to draw an angle of 45 The percentage error in his drawing is ,0.50%,1%,1.50%,2.00%,B
If 75 of the students in a school are boys and the number of girls is 420 the number of boys is ,1176,1350,1260,1125,C
Due to fall of 10 in the rate of sugar 500 gm more sugar can be purchased for Rs 140 Find the original rate ,Rs. 31.11,Rs. 29.22,Rs. 33.11,Rs. 32.22,A
Two numbers are respectively 20 and 50 of a third number What per cent is the first number of second ,10%,20%,30%,40%,D
An empty fuel tank of a car was filled with A type petrol When the tank was half empty it was filled with B type petrol Again when the tank was half empty it was filled with A type petrol When the tank was half empty again it was filled with B type petrol What is the percentage of A type petrol at present in the tank ,33.50%,37.50%,40%,50%,B
For an examination it is required to get 36 of maximum marks to pass A student got 113 marks and failed by 85 marks The maximum marks for the examination are ,500,550,565,620,B
Nagaral could save 10 of his income But 2 years later when his income increased by 20 he could save the same amount only as before By how much percentage has his expenditure increased ,,,,,A
6 c c of a 20 solution of alcohol in water is mixed with 4 c c of a 60 solution of alcohol in water A glass is filled with 10 parts of first liquid and 4 parts of second liquid The percentage of water in the new mixture in the glass is ,20%,26%,36%,40%,C
A housewife saved Rs 2 50 in buying an item on sale If she spent Rs 25 for the item approximately how much percent she saved in the transaction ,8%,9%,10%,11%,B
,800000,980000,1000000,1200000,B
There are 600 boys in a hostel Each plays either hockey or football or both If 75 play hockey and 45 play football how many play both ,48,60,80,120,D
78 of 750 34 of x 30 of 2630 Find x ,960,600,800,750,B
x 12 75 of 336 Find x ,27,25,21,19,C
A shop sells floor tiles at Rs 48 per square meter A contractor employs a machine that polishes the tiles that damages 10 of the total number of tiles which cannot be used any more Calculate the amount that needs to be paid by contractor to tile shop owner if the hall is of a square shape and has a perimeter of 400 meters ,"Rs. 4,00,000","Rs. 5,00,000","Rs. 5,28,000","Rs. 3,65,000",C
125 of 860 75 of 480 ,1415,1385,1435,None of these,C
A person subscribing to sky cable for a year pack Rs 1785 If the monthly subscription is Rs 175 how much discount does a yearly subscriber get ,11%,13%,15%,18%,C
In a metro train there are 600 passengers out of which 34 are females Fare of each male is Rs 20 and each female s fare is 25 less than each male What is the total revenue generated by all the passengers together ,Rs. 10880,Rs. 10980,Rs. 10740,Rs. 10680,B
In a test minimum passing percentage for girls and boys are 45 and 60 respectively A boy scored 767 marks and failed by 313 marks What are the minimum passing marks for girls ,910,920,840,810,D
50 minutes is what percentage of a day approx ,3.50%,4%,5%,6%,A
In an examination 36 are pass marks If an examine gets 17 marks and fails by 10 marks what are the maximum marks ,90,75,60,55,B
,100,150,200,225,C
In an examination 93 of students passed and 259 failed The total number of students appearing at the examination was ,3700,3850,3950,4200,A
When 75 added to 75 of a number the answer is the number Find 40 of that number ,100,80,120,160,C
If 15 of A B 25 of A B then what percent of B equal to A ,10%,60%,200%,400%,D
When 60 is subtracted from 60 of a number the result is 60 The number is ,120,150,180,200,D
In an examination A got 25 marks more than B B got 10 less than C and C got 25 more than D If D got 320 marks out of 500 the marks obtained by A were ,405,450,360,400,B
In a factory the production of cycles rose to 48400 from 40000 in 2 years The rate of growth per annum is ,10.50%,9%,8%,10%,D
A student scored 32 marks in science subjects out of 300 How much should he score in language papers out of 200 if he is to get overall 46 marks ,72%,67%,66%,60%,B
Present population of a village is 67600 It has been increasing annually at the rate of 4 What was the population of the village two years ago ,62500,63000,64756,65200,A
In a college 40 of the students were allotted group A 75 of the remaining were given group B and the remaining 12 students were given group C Then the number of students who applied for the group is ,100,60,80,92,C
A fruit seller had some apples He sells 40 apples and still has 420 apples Originally he had ,588 apples,600 apples,672 apples,700 apples,D
The value of a machine is Rs 6250 It decreases by 10 during the first year 20 during the second year and 30 during the third year What will be the value of the machine after 3 years ,Rs. 2650,Rs. 3050,Rs. 3150,Rs. 3510,C
A person gave 20 of his income to his elder son 30 of remaining to the younger son and 10 of the balance he donate to a trust He is left with Rs 10080 His income was ,Rs. 50000,Rs. 40000,Rs. 30000,Rs. 20000,D
,4:03,3:04,1:01,2:03,A
If a number is increased by 25 and the resulting number is decreased by 25 then the percentage increase or decrease finally is ,No change,,,Increased by 6%,B
In an examination 60 of the candidates passed in English and 70 of the candidates passed in Mathematics but 20 failed in both subjects If 2500 candidates passed in both the subjects the number of candidates who appeared at the examination was ,3000,3500,4000,5000,D
The value of a property depreciates every year by 10 of its value at the beginning of the year The present value of the property is Rs 8100 What was its value 2 years ago ,Rs. 10000,,,Rs. 9801,A
If a man receives on one fourth of his capital 3 interest on two third 5 and one the remaining 11 the percentage interest he receives on the whole is ,4.50%,5%,5.50%,5.20%,B
The difference between the value of the number increased by 20 and the value of the number decreased by 25 is 36 Find the number ,7.2,0.8,720,80,D
In a village each of the 60 of families has a cow each of the 30 of families has a buffalo and each of the 15 of families has both a cow and buffalo In all there are 96 families in the village How many families do not have a cow or a buffalo ,20,24,26,28,B
The population of a village has increased annually at the rate of 25 If at the end of 3 years it is 10000 the population in the beginning of the first year was ,5120,5000,4900,4500,A
In a mixture there is 15 of salt When 30 liter of water is evaporated salt becomes 20 of mixture Find the initial quantity of mixture ,120 liters,110 liters,125 liters,115 liters,A
The schedule working hour of a labour in a week if 48 hours and he gets Rs 480 for that Over time rate is 25 more than the the basic salary rate In a week a labour gets Rs 605 how many hours altogether he works in that week ,49 hours,52 hours,55 hours,58 hours,D
In an election 4 of the votes caste become invalid Winner gets 55 of casted votes and wins the election by a margin of 4800 votes Find the total number of votes casted ,45000,48000,50000,52000,C
A reduction of 10 in the price of cloth enables a man to buy 6 meters of cloth more for Rs 2160 Find the reduced price and also the original price of cloth per meter ,"Rs. 36, Rs. 40","Rs. 40, Rs. 36","Rs. 36, Rs. 44","Rs. 44, Rs. 36",A
 A gardener increased the rectangular garden by increasing its length by 40 and decreasing its width by 20 The area of the new garden ,Has increased by 20%,Has increased by 12%,Has increased by 8%,Is exactly the same as the old area,B
In a competitive examination in State A 6 candidates got selected from the total appeared candidates State B had an equal number of candidates appeared and 7 candidates got selected with 80 more candidates got selected than A What was the number of candidates appeared from each State ,7600,8000,8400,8800,B
Three candidates contested an election and received 1136 7636 and 11628 votes respectively What percentage of the total votes did the winning candidate get ,45%,57%,60%,65%,B
Fresh grapes contain 80 while dry grapes contain 10 water If the weight of dry grapes is 250 kg what was its total weight when it was fresh ,1000 kg,1125 kg,1225 kg,1100 kg,B
A population of variety of tiny bush in an experiment field increased by 10 in the first year increased by 8 in the second year but decreased by 10 in third year If the present number of bushes in the experiment field is 26730 then the number of variety of bushes in beginning was ,35000,27000,25000,36000,C
If a of x is equal to b of y then of c of y is what of x ,c %,,,abc %,B
The difference of two numbers is 15 of larger sum The ratio of the larger number to the smaller number is ,23:17,11:09,17:11,23:11,A
A number if reduced by 25 becomes 225 By what percent should it be increased so that it becomes 375 ,25%,30%,35%,75%,A
Out of two numbers 40 of the greater number is equal to 60 of the smaller If the sum of the numbers is 150 then the greater number is ,70,80,90,60,C
If the total monthly income of 16 persons is Rs 80800 and the income of one of them is 120 of the average income them his income is ,Rs. 5050,Rs. 6060,Rs. 6160,Rs. 6600,B
If three fifth of sixty percent of a number is 36 the number is ,100,80,75,90,A
A saves 20 of his monthly salary If his monthly expenditure is Rs 6000 then his monthly savings is ,Rs. 1500,Rs. 1800,Rs. 1200,Rs. 4800,A
The percentage increase in the surface area of a cube when each side is doubled is ,200%,300%,150%,50%,B
In an examination 35 of the candidates failed in Mathematics and 25 in English If 10 failed in both Mathematics and English then how much percent of candidates passed in both the subjects ,50%,55%,57%,60%,A
The population of a town increases every year by 4 If population was 50000 in starting then after two years will be ,53900,54000,54080,54900,C
The population of a village is 25000 One fifth are females and the rest are males 5 of males and 40 of females are uneducated What percentage on the whole are educated ,75%,88%,55%,85%,B
The income of a company increases 20 per annum If its income is Rs 2664000 in the year 2012 Then its income in the year 2010 was ,Rs. 2120000,Rs. 1850000,Rs. 2820000,Rs. 2855000,B
An individual pays 30 income tax On this he has to pay a surcharge of 10 Thus the net tax rate he has pay is ,45%,40%,33%,27%,C
An army lost 10 of its men in war 10 of the remaining died due to disease and 10 of the rest were declared disabled Thus the strength of the army was reduced to 729000 active men The original strength of the army was ,1500000,1000000,1200000,1100000,B
In an examination 35 of total students failed in Hindi 45 failed in English and 20 failed in both Find the percentage of those students who passed in both the subjects ,45%,35%,20%,40%,D
The price of an article was increased by r Later the new price was decreased by r If the latest price was Rs 1 then the original price was ,Rs. 1,,,,D
Out of his total income Mr Kapur spends 20 on house rent and 70 of the rest on house hold expenses If he saves Rs 1800 what is his total income in Rs ,Rs. 7800,Rs. 7000,Rs. 8000,Rs. 7500,D
Two numbers are in the ratio 2 3 If 20 of the smaller number added to 20 is equal to the sum of 10 of the larger number and 25 the the smaller number is ,100,160,180,200,A
,,,,,A
The ratio of the number of boys to that of girls in a school is 4 1 If 75 of boys and 70 of the girls are scholarship holders then the percentage of students who do not get scholarship is ,50%,28%,75%,26%,D
A man had a certain amount with him He spent 205 of that to buy any article and 5 of the remaining on transport Then he gifted Rs 120 If he is left with Rs 1400 the amount he spent on transport is ,Rs. 76,Rs. 61,Rs. 95,Rs. 80,D
,,,,,C
A line of length 1 5 metres was measured as 1 55 metres by mistakes What will be the value of error percent ,0.05%,,,0.08%,C
Two numbers are respectively 20 and 50 of the third number What percent is the first number of the second ,10%,20%,30%,40%,D
In an examination 65 of the students passed in Mathematics 48 passed in Physics and 30 passed in both How much percent of students failed in both the subjects ,17%,43%,13%,47%,A
At an election there were two candidate got 38 of votes and lost by 7200 votes The total numbers of valid votes were ,13000,13800,16200,30000,D
45 of 300 sqrt 56 of 750 10 of 250,60,130,260,67600,D
The enrolment of students in a school increases from 560 to 581 What is the percent increase in the enrolment ,2.75%,3.25%,3.72%,3.75%,D
If the average of number its 75 and its 25 is 240 then the number is ,280,320,360,400,C
A batsman scored 110 runs which included 3 boundaries and 8 sixes What percent of his total score did he make by running between the wickets ,$$45%$$,,,$$55%$$,B
0 01 is what percent of 0 1 ,,,10%,100%,C
Two persons contested an election of Parliament The winning candidate secured 57 of the total votes polled and won by a majority of 42000 votes The number of total votes polled is ,500000,600000,300000,400000,C
In a factory 60 of the workers are above 30 years and of these 75 are male and the rest are females If there are 1350 male workers above 30 years the total number of workers in the factory is ,3000,2000,1800,1500,A
In the last financial year a car company sold 41800 cars In this year the target is sale 51300 cars By what percent must the sale be increased ,,,,,D
One third of a number is 96 What will 67 of that number be ,192.96,181.44,169.92,204.48,A
If the duty on an article is reduced by 40 of his present rate by how much percent must its consumption increase in order that the revenue remains unaltered ,60%,,72%,,D
A number is first decreased by 10 and then increased by 10 The number so obtained is 50 less than the original number The original number is ,5900,5000,5500,5050,B
X has twice as much money as that of Y and Y has 50 more money than that of Z If the average money of all of them is Rs 110 then the money which X has is ,Rs. 55,Rs. 60,Rs. 90,Rs. 180,D
The sum of two numbers is 520 If the bigger number is decreased by 4 and the smaller number is increased by 12 then the numbers obtained are equal The smaller number is ,280,240,210,300,B
Tulsiram s salary is 20 more then that of Kashyap If Tulsiram saves Rs 720 which is 4 of his salary then Kashyap s salary is ,Rs. 15000,Rs. 12000,Rs. 10000,"Rs, 22000",A
The ratio of the number of boys to that of girls in a village is 3 2 If 30 of boys and 70 of girls appeared in an examination the ratio of the number of students appeared in the examination to that not appeared in the same examination is ,1:01,27:23:00,9:14,23:27,D
In 2 kg mixture of copper and aluminium 30 is copper How much aluminium powder should be added to the mixture so that the quantity of copper becomes 20 ,900 gms,800 gms,1000 gms,1200 gms,C
,,,,1,A
Ticket for all but 100 seats in a 10000 seat stadium were sold Of the ticket sold 20 were sold at half price and the remaining tickets were sold at the full price of Rs 20 The total revenue from the ticket sales in Rs was ,158400,178200,180000,198000,B
If 90 of A 30 of B and B 2x of A then the value of x is ,450,400,300,150,D
18 of which number is equal to 12 of 75 ,50,100,2,,A
In an examination 93 of students passed and 259 failed The total number of students appearing at the examination was ,3700,3850,3950,4200,A
When 75 added to 75 of a number the answer is the number Find 40 of that number ,100,80,120,160,C
If 15 of A B 25 of A B then what percent of B equal to A ,10%,60%,200%,400%,D
When 60 is subtracted from 60 of a number the result is 60 The number is ,120,150,180,200,D
In an examination A got 25 marks more than B B got 10 less than C and C got 25 more than D If D got 320 marks out of 500 the marks obtained by A were ,405,450,360,400,B
The weight of an empty bucket is 25 of the weight of the bucket when filled with some liquid Some of the liquid has been removed Then the bucket along with the remaining liquid weighed three fifths of the original weight What percentage of the liquid has been removed ,40%,,,,D
,20%,,40%,70%,B
The ratio 5 4 expressed as a percent equals ,12.50%,40%,80%,125%,D
Solve 550 of 250 275 ,15,1.5,0.5,None of these,D
270 candidates appeared for an examination of which 252 passed The pass percentage is ,80%,,,,D
,,,,,A
Solve this ,166.5,167.5,168.5,None of these,A
Solve this ,600,620,680,720,A
Krishna s present salary is Rs 3500 It will increase by 10 next year What will be Krishna s salary after the increment ,Rs. 3850,Rs. 3950,Rs. 4000,Rs. 3900,A
Solve this 32 of 825 25 of 1440 1025 ,456,206,223,401,D
If 80 of A 50 of B and B x of A then the value of x is ,400,300,160,150,C
,4763,4764,4762,4761,B
If 120 is 20 of a number then 120 of that number will be ,20,120,480,720,D
498 is 17 less than a number then the number is ,610,580,600,620,C
If radius of a circle is increased by 5 then the increase in it s area is ,10.25%,5.75%,10%,5%,A
In a survey of a city it was found that 90 percent of the people in the city own a refrigerator and 15 percent own a washing machine If everybody owns at least one appliance what percentage owns both ,5 percent,8 percent,10 percent,None of these,A
A and B are two fixed points 5 cm apart and C is a point on AB such that AC is 3 cm If the length of AC is increased by 6 the length of CB is decreased by ,6%,7%,8%,9%,D
In an examination 34 of the students failed in Mathematics and 42 failed in English If 20 of the students failed in both the subjects then the percentage of students who passed in both the subjects was ,44%,50%,54%,56%,D
If x of a is the same as y of b then z of b is ,,,,None of these,C
,288 kg,312 kg ,328 kg,336 kg,B
When water is changed into ice its volume increases by 9 If ice change into water the percentage decrease in volume is ,,9%,10%,18%,A
,10.75 m,11.85 m,12.25 m,15.60 m,A
How many litres of a 30 alcohol solution should be added to 40 litres of a 60 alcohol solution to prepare a 50 solution ,20,24,30,32,A
Solve 180 of 2 504,400,480,560,600,C
The marked price of an article is Rs 2400 The shopkeeper gives successive discounts of x and 15 to the customer If the customer pays Rs 1876 80 for the article find the value of x ,9%,8%,12%,11%,B
At a special sale 5 tickets can be purchased for the price of 3 tickets If 5 tickets are purchased at the sale the amount saved will be what percent of the original price of the 5 tickets ,20%,,40%,60%,C
