Question,A,B,C,D,Answer
By selling 33 meters of cloth a person gains the cost price of 11 meters Find his gain ,$$33\frac{1}{3}\% $$,$$33\frac{1}{2}\% $$,$$33\% $$,$$34\frac{1}{3}\% $$,A
A milkman bought 70 litres of milk for Rs 630 and added 5 litres of water If sells it at Rs 9 00 per litres his profit percentage is ,$$8\frac{1}{5}$$%,7%,$$8\frac{2}{5}$$%,$$7\frac{1}{7}$$%,D
A farmer sold a cow and an ox for Rs 800 and got a profit of 20 on the cow and 25 on the ox If he sells the cow and the ox for Rs 820 he gets a profit of 25 on the cow and 20 on the ox The individual cost price of the cow and the ox is ,"Rs. 530.60, Rs. 130.60 (approx)","Rs. 515.60, Rs. 115.60 (approx)","Rs. 531.50, Rs. 135.60 (approx)",Cannot be determined,A
The C P of two watches taken together is Rs 840 If by selling one at a profit of 16 and the other at a loss of 12 there is no loss or gain in the whole transaction then the C P of the two watches are respectively ,"Rs. 360, Rs. 480 ","Rs. 480, Rs. 360","Rs. 380, Rs. 460","Rs. 400, Rs. 440",A
A space research company wants to sell its two products A and B If the product A is sold at 20 loss and the product B at 30 gain the company will not lose anything If the product A is sold at 15 loss and the product B at 15 gain the company will lose Rs 6 million in the deal What is the cost of product B ,Rs. 80 million,Rs. 100 million,Rs. 120 million,Rs. 140 million,A
A milkman makes 20 profit by selling milk mixed with water at Rs 9 per litre if the cost price of 1 litre pure milk is Rs 10 then the ratio of milk and water in the said mixture is ,3 : 1,4 : 1,3 : 2,4 : 3,A
The ratio of cost price and selling price of an article is 20 21 The gain percent on it is ,4,5,6,10,B
Mr Kapur purchased two toy cycles for Rs 750 each He sold these cycles gaining 6 on one and losing 4 on the other The gain or loss percent in the whole transaction is ,1% loss,1% gain,1.5% loss,1.5% gain,B
The profit earned by a shopkeeper by selling a bucket at a gain of 8 is Rs 28 more than when he sells it at a loss of 8 The cost price in Rupees of the bucket is ,Rs. 170,Rs. 190,Rs. 175,Rs. 165,C
Srinivas sold an article for Rs 6800 and incurred a loss Had he sold the article foe Rs 7850 his gain would have been equal to half of the amount of loss that he incurred At what price should he sell the article to have 20 profit ,Rs. 7500,Rs. 9000,Rs. 10680,Rs. 9600,B
Sanjay made a profit of 8 by selling a shirt after offering a discount of 12 If the marked price of the shirt is Rs 1080 find cost price ,Rs. 890,Rs. 780,Rs. 880,Rs. 900,C
A sells a car priced at Rs 36000 He gives a discount of 8 on the 1,"A = Rs. 33500, B = Rs. 33400","A = Rs. 33450, B = Rs. 33650","A = Rs. 33480, B = Rs. 33600","A = Rs. 33600, B = Rs. 33480",D
st,75%,80%,87%,85%,C
A person buys a bag at 25 discount on its original price After few days he sells it to his friend at 40 increase on the original price What is his profit percentage approx ,Rs. 100,Rs. 150,Rs. 200,Rs. 250,C
A loss of 20 gets converted into a profit of 15 when the selling price of an article is increased by Rs 70 Find the cost price of the article ,7,7.5,8,9,C
By selling an umbrella for Rs 300 a shopkeeper gains 20 During a clearance sale the shopkeeper allows a discount of 10 on the marked price His gain percent during the sale is ,25%,30%,$$33\frac{1}{3}$$%,$$37\frac{1}{2}$$%,C
A discount of 10 is given by a salesman for cash payment What should be the marked price if he wants to earn a profit of 5 ,16.67%,15%,22%,10%,A
A shopkeeper purchased 50 dozen cups for Rs 3000 Out of these 60 cups were broken and could not be sold At what rate per dozen should he sell the remaining cup to make a profit of 20 ,Rs. 60,Rs. 75,Rs. 80,Rs. 90,C
If a commission at the rate of 10 is given to a bookseller on the marked price of a book by the publisher the publisher gains 20 If the commission is increased to 15 then the gain percent would be ,$$6\frac{2}{3}\% $$,$$13\frac{1}{3}\% $$,$$15\frac{5}{6}\% $$,$$12\frac{1}{2}\% $$,B
A shopkeeper marks his goods at such a price that after allowing a discount of 12 5 on the marked price he still earns a profit of 10 The marked price of an article which costs him Rs 4900 is ,Rs. 5390,Rs. 5490,Rs. 6160,Rs. 6260,C
A tradesman gives 4 discount on the marked price and gives 1 article free for buying every 15 articles and thus gains 35 The marked price is above the cost price by ,20%,39%,40%,50%,D
A cloth merchant on selling 33 meters of cloth obtains a profit equal to the selling price of 11 meters of cloth the profit is ,40%,22%,50%,11%,C
An item costing Rs 840 was sold by a shopkeeper at a gain of 10 and it was again sold by the new buyer at a loss of 5 Find selling price of the item is ,Rs. 877.80,Rs. 798,Rs. 924,Rs. 37.80,A
The cost of raw materials of a product increases by 30 the manufacturing cost increases by 20 and the selling price of the product increases by 60 The raw material and the manufacturing cost originally formed 40 and 60 of the total cost respectively If the original profit percentage was one fourth the original manufacturing cost find the approximate new profit percentage ,48.39%,54.76%,63.85%,66.75%,A
Previously the manufacturing cost of a product was thrice the cost of raw material Now the cost of raw material increases in the ratio 5 12 and manufacturing cost increases in the ratio of 3 5 The previous cost of the product was Rs 8 What should be the present selling price so that 25 profit can be made ,Rs. 13.70,Rs. 14.80,Rs. 18.50,Rs. 19.50,C
A person sells an article for Rs 75 and gains as much percent as the cost price of the article in rupees The cost price of the article is ,Rs. 37.50,Rs. 40,Rs. 50,Rs. 150,C
Nikita bought 30 kg of wheat at the rate of Rs 9 50 per kg of wheat and the same amount of wheat at the rate Rs 8 50 per kg and mixed them She sold the mixture at the rate of Rs 8 90 per kg Her total profit or loss in the transaction was ,Rs. 2 loss,Rs. 2 profit,Rs. 6 loss,Rs. 6 profit,C
Albert buys 4 horses and 9 cows for Rs 13400 If he sells the horses at 10 profit and the cows at 20 profit then he earns a total profit of Rs 1880 The cost of a horse is ,Rs. 1000,Rs. 2000,Rs. 2500,Rs. 3000,B
A man purchases two clocks A and B at a total cost of Rs 650 He sells A with 20 profit and B at a loss of 25 and gets the same selling price for both the clocks What are the purchasing prices of A and B respectively ,"Rs. 225, Rs. 425","Rs. 250, Rs. 400","Rs. 275, Rs. 375","Rs. 300, Rs. 350",B
Nita blends two varieties of tea one costing Rs 180 per kg and another costing Rs 200 per kg in the ratio 5 3 If she sells the blended variety at Rs 210 per kg then her gain is ,110%,11%,12%,13%,C
To gain 10 on selling the mixture of milk and water at the cost price of pure milk the quantity of water to be mixed with 50 kg of pure milk is ,2.5 kg,5 kg,7.5 kg,10 kg,B
A style cloth emporium the shopkeeper measures 20 less for every metre of cloth also he marks up goods by 20 What is the profit percentage ,50%,65%,75%,85%,A
A traders sells two acrticles one at a loss of 10 and another at a profit of 15 but finally there is no loss or gain If the total sale price of these two articles is Rs 30 000 find the difference between their cost prices ,Rs. 5000,Rs. 6000,Rs. 7500 ,Rs. 8500,B
The difference between a discount 40 on Rs 500 and two successive discounts of 30 and 10 the same amount is ,Rs. 20,Rs. 10,Rs. 15,Rs. 0,C
A person having bought goods for Rs 400 sells half of it at a gain of 5 at what gain must he sell the remainder so as to gain 20 on the whole ,30%,32%,34%,35%,D
Find the difference of amount if 40 discount is given on Rs 500 and two consecutive discount 30 and 10 are given on the same amount ,Rs. 15,Rs. 0,Rs. 20,Rs. 10,A
A trader sells an article and loses 12 frac 1 2 The ratio of cost price to the selling price is ,7 : 8,9 : 8,8 : 7,8 : 9,C
If the cost price of 18 articles is equal to the selling price of 16 articles the gain or loss is ,25% gain,25% loss,$$12\frac{1}{2}$$% loss,$$12\frac{1}{2}$$% gain,D
The price of a refrigerator and a television set are in the ratio 5 3 If the refrigerator costs Rs 5500 more than the television set then the price of the refrigerator is ,Rs. 27500,Rs. 8250,Rs. 13750,Rs. 16500,C
If books bought at prices from Rs 150 to Rs 300 are sold at prices ranging from Rs 250 to Rs 350 What is the greatest possible profit that might be made in selling 15 books ,Cannot be determind,Rs. 750,Rs. 4250,Rs. 3000,D
A person buys an article for Rs p and sells it for Rs q thereby gaining r The selling price in terms of cost price may be written as ,$$\frac{{{\text{pr}}}}{{100}}$$,$$\frac{{{\text{r}}\left( {100 + {\text{p}}} \right)}}{{100}}$$,$$\frac{{{\text{p}}\left( {100 + {\text{r}}} \right)}}{{100}}$$,$$\frac{{{\text{p}}\left( {100 - {\text{r}}} \right)}}{{100}}$$,C
A shopkeeper purchased 70 kg of potatoes for Rs 420 and sold the whole lot at the rate of Rs 6 50 per kg What will be his gain percent ,$$4\frac{1}{6}$$%,$$6\frac{1}{4}$$%,$$8\frac{1}{3}$$%,20%,C
A merchant marked cloth at Rs 50 metre He offers 2 successive discounts of 15 and 20 The net price metre is ,Rs. 32.50,Rs. 42.50,Rs. 34.00,Rs. 40.00,C
If the cost price of 10 articles is equal to the selling price of 7 articles then the gain or loss percent is ,51% gain,$$42\frac{6}{7}$$% gain,35% loss,$$42\frac{6}{7}$$% loss,B
A coconut merchant finds that the cost price of 2750 coconuts is the same as the selling price of 2500 coconuts His loss or gain will be ,5%,10% gain,15% loss,20% gain,B
By selling an article for Rs 100 a man gains Rs 15 Then his gain is ,15%,$$12\frac{2}{3}$$%,$$17\frac{{11}}{{17}}$$%,$$17\frac{1}{4}$$%,C
A clock was sold for Rs 144 If the percentage of profit was numerically equal to the cost price the cost of the clock was ,Rs. 72,Rs. 80,Rs. 90,Rs. 100,B
If the price of eraser is reduced by 25 A person can buy 2 more erasers for a rupee How many erasers are available for a rupee after reduction ,8,6,4,2,A
If a company sells a car with a marked price of Rs 272000 and gives a discount of 4 on Rs 200000 and 2 5 on the remaining amount of Rs 72 000 then the actual price charged by the company for the car is ,"Rs. 2,50,000","Rs. 2,55,000","Rs. 2,60,000","Rs. 2,62,200",D
An umbrella marked at Rs 80 is sold for Rs 68 The following rate of discount is ,15%,17%,18.5%,20%,A
Raghavan purchased a scooter at frac 13 15 of its selling price and sold it at 12 more than its selling price His gain is ,20%,30%,$$38\frac{1}{{13}}$$%,$$29\frac{3}{{13}}$$%,D
Jacob bought a scooter for a certain sum of money He spent 10 of the cost on repairs and sold the scooter for a profit of Rs 1100 How much did he spend on repairs if he made a profit of 20 ,Rs. 400,Rs. 440,Rs. 500,Rs. 550,C
A person sells a table at a profit of 10 If he had bought the table at 5 less cost and sold for Rs 80 more he would have gained 20 The cost price of the table is ,Rs. 3200,Rs. 2500,Rs. 2000,Rs. 200,C
A radio is sold for Rs 990 at a profit of 10 What would have been the actual profit or loss on it had it been sold for Rs 890 ,Rs. 10 loss,Rs. 10 profit,Rs. 90 loss,Rs. 90 profit,A
A man sells an article at 10 loss If he had sold it at Rs 10 more he would have gained 10 The cost price of the article is ,Rs. 50,Rs. 55,Rs. 100,Rs. 110,A
By selling a bicycle for Rs 2850 a shopkeeper gains 14 If the profit is reduced to 8 then the selling price will be ,Rs. 2600,Rs. 2700,Rs. 2800,Rs. 3000,B
A vendor bought toffees at 6 for a rupee How many for a rupee must he sell to gain 20 ,3,4,5,6,C
The percentage profit earned by selling an article for Rs 1920 is equal to the percentage loss incurred by selling the same article for Rs 1280 At what price should the article be sold to make 25 profit ,Rs. 2000,Rs. 2200,Rs. 2400,Data inadequate,A
A shopkeeper expects a gain of 22 5 on his cost price If in a week his sale was of Rs 392 what was his profit ,Rs. 18.20,Rs. 70,Rs. 72,Rs. 88.25,C
A man buys a cycle for Rs 1400 and sells it at a loss of 15 What is the selling price of the cycle ,Rs. 1090,Rs. 1160,Rs. 1190,Rs. 1202,C
Sam purchased 20 dozens of toys at the rate of Rs 375 per dozen He sold each one of them at the rate of Rs 33 What was his percentage profit ,3.5,4.5,5.6,6.5,C
A trader buys some goods for Rs 150 If the overhead expenses be 12 of cost price then at what price should it be sold to earn 10 ,Rs. 184.80,Rs. 185.80,Rs. 187.80,Rs. 188.80,A
If the loss of percent on article is 15 Then the ratio of the cost price and selling price will be ,17 : 20,20 : 17,23 : 15,15 : 23,B
List price of T V is Rs 2300 and discount series found to be 25 ans 10 Then the selling price of T V is ,Rs. 1255.50,Rs. 1525.50,Rs. 1552.50,Rs. 1555.20,C
Gopi goes from place A to B to bye an article costing 15 less at B although he spends Rs 150 on travelling still he gains Rs 150 compared to buying it at A His profit percent is ,4.5%,6%,7.5%,8%,C
If an article is sold at 200 percent profit then the ratio of its cost price to its selling price will be ,1 : 2,2 : 1,1 : 3,3 : 1,C
A man bought oranges at the rate of 8 for Rs 34 and sold them at the rate of 12 for Rs 57 How many oranges should be sold to earn a net profit of Rs 45 ,90,100,135,150,A
A merchant has 1000 kg of sugar part of which he sells at 8 profit and the rest at 18 profit He gains 14 on the whole The quantity in kg sold at 18 profit is ,400,560,600,640,C
Two thirds of a consignment was sold at a profit of 6 and the rest at a loss of 3 If however there was an overall profit of Rs 540 the value of consignment was ,Rs. 15000,Rs. 16000,Rs. 18000,None of these,C
Krishna purchased a number of articles at Rs 10 for each and the same number for Rs 14 each He mixed them together and sold them for Rs 13 each Then his gain or loss percent is ,Loss $$8\frac{1}{3}\% $$,Gain $$8\frac{2}{3}\% $$,Loss $$8\frac{2}{3}\% $$,Gain $$8\frac{1}{3}\% $$,D
A man purchases some oranges at the rate of 3 for Rs 40 and the same quantity at 5 for Rs 60 If he sells all the oranges at the rate of 3 for Rs 50 find his gain or loss percent to the nearest integer ,34% loss,31% profit,31% loss,32% profit,D
The marked price of an item is twice the cost price discount 20 of market price and profit is 10 of selling price Find profit percentage to cost,$$\frac{{100}}{9}$$%,$$\frac{{100}}{11}$$%,11%,8%,A
 The marked price of an item is twice the cost price For a gain of 15 the discount should be ,7.5%,20.5%,32.5%,42.5%,D
A man sold his watch at a loss of 5 Had he sold it for Rs 56 25 more he would have gained 10 What is the cost price of the watch in Rs ,365,370 ,375,390,C
A total profit of Rs 3 600 is to be distributed amongst A B and C such that A B 5 4 and B C 8 9 The share of C in the profit is ,"Rs. 1,200","Rs. 1,500","Rs. 1,650","Rs. 1,700",A
A man bought a horse and a cart If he sold the horse at 10 loss and the cart at 20 gain he would not lose anything but if he sold the horse at 5 loss and the cart at 5 gain he would lose Rs 10 in the bargain The amount paid by him was Rs for the horse and Rs for the cart ,"500, 300","200, 400","400, 200","300, 500",C
A shopkeeper sells an article at 12 frac 1 2 loss If he sells it for Rs 92 50 more than he gains 6 What is the cost price of the article ,Rs. 500,Rs. 510,Rs. 575,Rs. 600,A
A sells a cycle to B at a profit of 10 B sells to C at a profit of 20 If C pays Rs 264 for it how much did A pay for it ,Rs. 200,Rs. 220,Rs. 225,Rs. 234,A
A sold a tape recorder to B for Rs 4860 at a loss of 19 Again B sold it to C at price that would give A a profit of 17 The gain of B is ,$$22\frac{2}{9}\% $$,$$33\frac{1}{3}\% $$,$$44\frac{4}{9}\% $$,$$66\frac{2}{3}\% $$,C
A dishonest fruit vendor sells his goods at cost price but they uses a weight of 900 gm for the 1 kg weight His gain percent is ,12%,$$11\frac{1}{9}$$%,$$10\frac{1}{9}$$%,10%,B
A man sells a book at a profit of 20 If he had bought it at 20 less and sold it for Rs 18 less he would have gained 25 The cost price of the book is ,Rs. 60,Rs. 70,Rs. 80,Rs. 90,D
A man sells two articles at Rs 99 each He gains 10 on one and loses 10 on the other Then on overall basis he ,Gain Rs. 2,Neither gain nor lose,Lose Rs. 2,Lose of Rs. 1,C
A man sold two steel chairs for Rs 500 each On one he gains 20 and on the other he loses 12 How much does he gain or lose in the whole transaction ,1.5% gain,1.5% loss,2% gain,2% loss,A
Ranjan purchased 120 tables at a price of Rs 110 per table He sold 30 tables at a profit of Rs 12 per table and 75 tables at a profit of Rs 14 per table The remaining tables were sold at a loss of Rs 7 per table What is the average profit per table ,Rs. 10.04,Rs. 10.875,Rs. 12.80,Rs. 12.875,B
x sells two articles for Rs 4000 each with no loss and no gain in the transaction If one was sold at a gain of 25 the other is sold at a loss of ,25%,$$18\frac{2}{9}$$%,$$16\frac{2}{3}$$%,20%,C
If I would have purchased 11 articles for Rs 10 and sold all the articles at the rate of 10 for Rs 11 the profit percent would have been ,10%,11%,21%,100%,C
A shopkeeper sells two watches for Rs 308 each On one he gets 12 profit and on the other 12 loss His profit or loss in the entire transaction was ,"Neither profit, nor loss",$$1\frac{{11}}{{25}}$$ % loss,$$1\frac{{11}}{{25}}$$ % profit,$$3\frac{2}{{25}}$$ % loss,B
A man sells two flats at the rate of Rs 1 995 lakhs each On one he gains 5 and on the other he loses 5 His gain or loss percent in the whole transaction is ,0.25% loss,0.25% gain,2.5% loss,25% loss,A
The list price of an article is Rs 900 It is available at two successive discounts of 20 and 10 The selling price of the article is ,Rs. 640,Rs. 648,Rs. 540,Rs. 548,B
A dishonest grocer sells rice at a profit of 10 and uses weight which are 20 less than the marked weight The total gain earned by him will be ,37.5%,32%,30.5%,35%,A
A dishonest dealer professes to sell his goods at the cost price but uses a false weight of 850 g instead of 1 kg his gain percent is ,$$17\frac{{12}}{{17}}\% $$,$$17\frac{{11}}{{17}}\% $$,$$71\frac{{11}}{{17}}\% $$,$$11\frac{{11}}{{17}}\% $$,B
A man sells two commodities for Rs 4000 each neither losing nor gaining in the deal If he sold one commodity at a gain of 25 the other commodity is sold at a loss of ,$$16\frac{2}{3}\% $$,$$18\frac{2}{9}\% $$,25%,None of these,A
A house and a shop were sold for Rs 1 lakh each In this transaction the house sale resulted into 20 loss whereas the shop sale resulted into 20 profit The entire transaction resulted in ,"No loss, no gain",Loss of Rs. $$\frac{1}{12}$$ lakh,Loss of Rs. $$\frac{1}{18}$$ lakh,Gain of Rs. $$\frac{1}{24}$$ lakh,B
A man bought two goats for Rs 1008 He sold one at a loss of 20 and other at a profit of 44 if each goat was sold for the same price the cost price of the goat which was sold at loss was ,Rs. 648,Rs. 360,Rs. 568,Rs. 440,A
One trader calculates the percentage of profit on the buying price and another calculates on the selling price When their selling price are the same then the difference of their actual profits is Rs 85 and both claim to have made 20 profit what is the selling price of each ,Rs. 1700,Rs. 2100,Rs. 2550,Rs. 2750,C
A trader bought two horses for Rs 19500 he sold one at a loss 20 and the other at a profit of 15 If the selling price of each horse is the same then their cost prices are respectively ,Rs. 10000 and Rs. 9500,Rs. 11500 and Rs. 8000,Rs. 12000 and Rs. 7500,Rs. 10500 and Rs. 9000,B
An article is sold at a profit of 20 If the cost price is increased by 10 and the sale price by Rs 26 then the percentage of profit reduces by 5 Determine the cost price ,Rs. 300,Rs. 400,Rs. 500,Rs. 600,B
Shailja earns 15 percent on an investment but loses 10 percent on another investment If the ratio of the two investments is 3 5 then the combined loss percent is ,$$\frac{5}{8}$$,$$\frac{8}{5}$$,$$\frac{4}{5}$$,$$\frac{5}{4}$$,A
On selling an article for Rs 651 there is a loss of 7 The cost price of that article is ,Rs. 744,Rs. 751,Rs. 793,Rs. 700,D
A reduction of 20 in the price of salt enabled a purchaser to obtain 4 kg more for Rs 100 The reduced price of salt per kg is ,Rs. 4,Rs. 5,Rs. 6.25,Rs. 6.50,B
Joseph s salary is reduced by 10 In order to have his salary back to his original amount it must be raised by ,12.5%,$$11\frac{1}{9}$$%,10%,11%,B
A person bought some articles at the rate of 5 per rupee and the same number at the rate of 4 per rupee He mixed both the types and sold at the rate of 9 for 2 rupees In this business he suffered a loss of Rs 3 The total number of articles bought by him was ,1090,1080,540,545,B
