Question,A,B,C,D,Answer,Q
Kunal walks 10 km towards north From there he walks 6 km towards South Then he walks 3 km towards east How far and in which direction is he with reference to his starting point ,"5 km, West","5 km, North-East","7 km, East","7 km, south-East",B,Direction
Rohan walks a distance of 3 km towards north then turns to his left and walks 2 km He again turns left and walks for 3 km At this point he turns to his left and walks for 3 km How many kilometres is he from the starting point ,1 km,2 km,3 km,4 km,A,Direction
One morning Udai and Vishal were talking to each other face to face at a crossing If Vishal s shadow was exactly to the left of Udai which direction was Udai facing ,East,West,North,South,C,Direction
Y is in the East of X which is in the North of Z If P is in the South of Z then in which direction of Y is P ,North,South,South-East,None of these,D,Direction
If South East becomes North North East becomes West and so on What will West become ,North-East,North-West,South-East,South-West,C,Direction
One morning sujata started to walk towards the Sun After covering some distance she turned to right then again to the right and after covering some distance she again turns to the right Now in which direction is she facing ,North,South,North-East,South-West,A,Direction
Some boys are sitting in three rows all facing North such that A is in the middle row P is just to the right of A but in the same row Q is just behind of P while R is in the North of A In which direction of R is Q ,South,South-West,North-East,South-East,D,Direction
One morning after sunrise Vimal started to walk During this walking he met Stephen who was coming from opposite direction Vimal watch that the shadow of Stephen to the right of him Vimal To Which direction Vimal was facing ,East,West,South,Data inadequate,C,Direction
Golu started from his house towards North After covering a distance of 8 km he turned towards left and covered a distance of 6 km What is the shortest distance now from his house ,10 km.,16 km.,14 km,2 km.,A,Direction
P started from his house towards west After walking a distance of 25 m He turned to the right and walked 10 m He then again turned to the right and walked 15 m After this he is to turn right at 135,West,South,South-West,South-East,C,Direction
One evening before sunset Rekha and Hema were talking to each other face to face If Hema s shadow was exactly to the right of Hema which direction was Rekha facing ,North,South,East,Data is inadequate,B,Direction
A boy rode his bicycle Northward then turned left and rode 1 km and again turned left and rode 2 km He found himself 1 km west of his starting point How far did he ride northward initially ,1 km,2 km,3 km,5 km,B,Direction
K is 40 m South West of L If M is 40 m South East of L then M is in which direction of K ,East,West,North-East,South,A,Direction
A man walks 2 km towards North Then he turns to East and walks 10 km After this he turns to North and walks 3 km Again he turns towards East and walks 2 km How far is he from the starting point ,10 km,13 km,15 km,None of these,B,Direction
The length and breadth of a room are 8 m and 6 m respectively A cat runs along all the four walls and finally along a diagonal order to catch a rat How much total distance is covered by the cat ,10,14,38,48,C,Direction
X started to walk straight towards south After walking 5 m he turned to the left and walked 3 m After this he turned to the right and walked 5 m Now to which direction X is facing ,North-East,South,North,South-West,B,Direction
Hemant in order to go to university started from his house in the east and came to a crossing The road to the left ends in a theatre straight ahead is the hospital In which direction is the university ,North,South,East,West,A,Direction
After walking 6 km I turned to the right and then walked 2 km After then I turned to the left and walked 10 km In the end I was moving towards the North From which direction did I start my journey ,North,South,East,West,B,Direction
Ravi left home and cycled 10 km towards South then turned right and cycled 5 km and then again turned right and cycled 10 km After this he turned left and cycled 10 km How many kilometers will he have to cycle to reach his home straight ,10 km,15 km,20 km,25 km,B,Direction
Reena walked from A to B in the East 10 feet Then she turned to the right and walked 3 feet Again she turned to the right and walked 14 feet How far is she from A ,4 feet,5 feet,24 feet,27 feet,B,Direction
