Question,A,B,C,D,Answer,Q
Four pairs of words are given out of which the words in three pairs are related in some way and words in one pair are different Find out that pair which is differently related ,Tea and Coffee,Pencil and Pen,Cycle and scooter,Shirt and tailor,D,Odd
Four groups of letters are given Three of them are alike in a certain way while one is different Choose the one which is different ,FBI,QMT,VRY,HEK,D,Odd
Four groups of letters are given Three of them are alike in a certain way while one is different Choose the one which is different ,XT,RL,JF,PL,B,Odd
Find the odd number letters word from the given alternative ,"(52, 142)","(54, 126)","(56, 168)","(58, 184)",C,Odd
Find the odd number letters word from the given alternative ,21:24,28:32:00,54 : 62,70 : 80,C,Odd
Find the odd number letters word from the given alternative ,"2, 3, 6","6, 1, 6","3, 3, 9","6, 2, 5",D,Odd
Find the odd number letters word from the given alternative ,0.566666667,0.622916667,0.708333333,0.755555556,B,Odd
Find the odd number letters word from the given alternative ,"3, 9, 6, 15","6, 18, 12, 30","4, 16, 12, 24","12, 36, 24, 60",C,Odd
Find the odd number letters word from the given alternative ,80 : 60,96 : 80,64:48:00,104 : 78,D,Odd
Find the odd number letters word from the given alternative ,339,326,428,338,D,Odd
Find the odd number letters word from the given alternative ,Inch,Metre,Yard,Quart,D,Odd
Find the odd number letters word from the given alternative ,TUVX,OPRS,BCDF,HIJL,B,Odd
Find the odd number letters word from the given alternative ,Rain ,Shower,Sleet,Raisin,D,Odd
Find the odd number letters word from the given alternative ,Tea,Cinchona,Rubber,Chalk,D,Odd
Find the odd number letters word from the given alternative ,Berene,Bristol,Zurich,Geneva,A,Odd
Find the odd number letters word from the given alternative ,Retina,Pupil,Vision,Cornea,C,Odd
Find the odd number letters word from the given alternative ,Rival,Opponent,Foe,Ally,D,Odd
Find the odd number letters word from the given alternative ,Rival,Opponent,Foe,Ally,D,Odd
Find the odd number letters word from the given alternative ,Tibia,Cortex,Cranium,Cerebellum,A,Odd
Find the odd number letters word from the given alternative ,Night,Morning,Noon,Evening,A,Odd
Find the odd number letters word from the given alternative ,547 - 563,71 - 55,517 - 523,248 - 231,D,Odd
Find the odd number letters word from the given alternative ,Heat,Light,Bulb,Electricity,A,Odd
Find the odd number letters word from the given alternative ,IHKL,GFHJ,EDGH,CBEF,B,Odd
Find the odd number letters word from the given alternative ,SSTO,OOTU,TTOU,USTO,D,Odd
Find the odd number letters word from the given alternative ,GJOV,BFJQ,ILQX,RUZG,B,Odd
Find the odd number letters word from the given alternative ,DJFB,IOKG,OUQM,RXTO,D,Odd
Find the odd number letters word from the given alternative ,JIHG,OPNM,SRQP,ZYXW,B,Odd
Find the odd number letters word from the given alternative ,BDGI,JLOQ,ZADF,RTWY,C,Odd
Find the odd number letters word from the given alternative ,Tall,Huge,Thin,Sharp,D,Odd
Find the odd number letters word from the given alternative ,Room,Chanber,Veranda,Cabin,C,Odd
Find the odd number letters word from the given alternative ,25 - 21,61 - 12,44 - 31,34 - 30,C,Odd
Find the odd number letters word from the given alternative ,Potassium,Silicon,Zirconium,Gallium,A,Odd
Find the odd number letters word from the given alternative ,Bogota,Sydney,Doha,Brussels,B,Odd
Find the odd number letters word from the given alternative ,2,16,56,128,C,Odd
Find the odd number letters word from the given alternative ,6895,6958,7948,9783,D,Odd
Find the odd number letters word from the given alternative ,1236,2346,4566,5686,D,Odd
Find the odd number letters word from the given alternative ,369,462,761,862,C,Odd
Find the odd number letters word from the given alternative ,7,15,31,57,D,Odd
Find the odd number letters word from the given alternative ,Valley : Depth,Good : Bad,High : Low,Black : White,A,Odd
Find the odd number letters word from the given alternative ,Ice cube : Cold,Iron : Hard,Marble : Smooth,Purse : Money,D,Odd
Find the odd number letters word from the given alternative ,Church : Monument,Car : Bus,Pond : Lake ,Pistol : Gun,A,Odd
Find the odd number letters word from the given alternative ,Shoe : Leather,Iron : Axe,Table : Wood,Jewellery : Gold,B,Odd
Find the odd number letters word from the given alternative ,Cat : Mouse,Lion : Deer,Cow : Hen,Hawk : Pigeon,C,Odd
Find the odd number letters word from the given alternative ,IMF,SAARC,UNICEF,WHO,B,Odd
Find the odd number letters word from the given alternative ,Infrared Rays,Radio waves,X-rays,Ultraviolet Rays,B,Odd
Find the odd number letters word from the given alternative ,Afghanistan,Bhutan,India,Pakistan,A,Odd
Find the odd number letters word from the given alternative ,Physics,Chemistry,Biology,Geography,D,Odd
Find the odd number letters word from the given alternative ,Lord Dalhousie,Lord Mountbattan,Lord Linlithgow,Lord Tennyson,D,Odd
Find the odd number letters word from the given alternative ,Water : Thirst,Talent : Education,Food : hunger,Air : Suffocation,B,Odd
Find the odd number letters word from the given alternative ,Tree : Stem,Face : Eye,Chair : Sofa,Plant : Flower,C,Odd
Find the odd number letters word from the given alternative ,Board : Wide,Light : Heavy,Tiny : Small,Big : Large,B,Odd
Find the odd number letters word from the given alternative ,Book : Page,Table : Drawer,Loom : Cloth ,Car : Wheel,C,Odd
Find the odd number letters word from the given alternative ,Shirt : Dress,Boy : Girl,Mango : Fruit,Table : Furniture,B,Odd
Find the odd number letters word from the given alternative ,Tea,Cinchona,Rubber,Chalk,D,Odd
Find the odd number letters word from the given alternative ,Berene,Bristol,Zurich,Geneva,A,Odd
Find the odd number letters word from the given alternative ,Retina,Pupil,Vision,Cornea,C,Odd
Find the odd number letters word from the given alternative ,Rival,Opponent,Foe,Ally,D,Odd
Find the odd number letters word from the given alternative ,Rival,Opponent,Foe,Ally,D,Odd
Find the odd number letters word from the given alternative ,IMF,SAARC,UNICEF,WHO,B,Odd
Find the odd number letters word from the given alternative ,Infrared Rays,Radio waves,X-rays,Ultraviolet Rays,B,Odd
Find the odd number letters word from the given alternative ,Afghanistan,Bhutan,India,Pakistan,A,Odd
Find the odd number letters word from the given alternative ,Physics,Chemistry,Biology,Geography,D,Odd
Find the odd number letters word from the given alternative ,Lord Dalhousie,Lord Mountbattan,Lord Linlithgow,Lord Tennyson,D,Odd
Find the odd number letters word from the given alternative ,Customs,Service tax,Income tax,Sales tax,D,Odd
Find the odd number letters word from the given alternative ,Electricity,Telephone,Telegram,Post,A,Odd
Find the odd number letters word from the given alternative ,Happy,Delighted,Annoyed ,Elated,C,Odd
Find the odd number letters word from the given alternative ,Ample,Copious,Plentiful,Abundance,D,Odd
Find the odd number letters word from the given alternative ,Friendship,Attachment,Intimacy,Enmity,D,Odd
Find the odd number letters word from the given alternative ,Dim : Bright,Wrong : Right,Shallow : Deep,Genuine : Real,D,Odd
Find the odd number letters word from the given alternative ,Man : Garage,Pig : Sty,Horse : Stable,Cow : Shed,A,Odd
Find the odd number letters word from the given alternative ,Shovel : Mud,Screwdriver : Screw,Hammer : Nail,Pen : Pencil,D,Odd
Find the odd number letters word from the given alternative ,Gold : Ornaments,Cloth : Garments,Wood : Furniture,Leather : Footwear,E,Odd
Find the odd number letters word from the given alternative ,Oil : Lamp,Water : Tap,Oxygen : Life,Power : Machine,B,Odd
Find the odd number letters word from the given alternative ,Debit,Deposit,Deduction,Withdrawal,B,Odd
Find the odd number letters word from the given alternative ,Magazine,Novel,Dictionary,Thesis,D,Odd
Find the odd number letters word from the given alternative ,Fog,Cloud,Rain,Mist,B,Odd
Find the odd number letters word from the given alternative ,Whale,Barracuda,Shark,Herring,A,Odd
Find the odd number letters word from the given alternative ,Platform,Dock,Bus-stand,Park,D,Odd
Find the odd number letters word from the given alternative ,Investigation,Analysis,Search,Conclusion,D,Odd
Find the odd number letters word from the given alternative ,Scoop,Corner,Bunker,Bully,C,Odd
Find the odd number letters word from the given alternative ,Den,Roof,Burrow,Nest,B,Odd
Find the odd number letters word from the given alternative ,Owl,Eagle,Hawk,Parrot,D,Odd
Find the odd number letters word from the given alternative ,Acharya Kripalini,C.V.Raman,Raja Gopalchari,Radhakrishnan,A,Odd
Find the odd number letters word from the given alternative ,Volt,Power,Volume,Force,A,Odd
Find the odd number letters word from the given alternative ,Kangaroo,Orang-utang,Gorilla,Baboon,A,Odd
Find the odd number letters word from the given alternative ,Ball,Speaker,Globe,Sphere,B,Odd
Find the odd number letters word from the given alternative ,Kleptomania,Schizophrenia,Agoraphobia,Alzheimer's disease,D,Odd
Find the odd number letters word from the given alternative ,Centaur,Tortoise,Goat,Lion,A,Odd
Find the odd number letters word from the given alternative ,Rival,Opponent,Foe,Ally,D,Odd
Find the odd number letters word from the given alternative ,Rival,Opponent,Foe,Ally,D,Odd
Find the odd number letters word from the given alternative ,Mouth Organ,Electric Guitar,Keyboard,Sonata,C,Odd
Find the odd number letters word from the given alternative ,Head,Heed,Led ,Heap,B,Odd
Find the odd number letters word from the given alternative ,Assassinate,Kill,Murder,Kidnap,D,Odd
Find the odd number letters word from the given alternative ,Advise,Counsel,Suggest,Direct,D,Odd
Find the odd number letters word from the given alternative ,Metropolis,Home,Twon,Village,B,Odd
Find the odd number letters word from the given alternative ,Microscope,Microphone,Microfilm,Microbe,D,Odd
Find the odd number letters word from the given alternative ,Rhea,Trout,Lamprey,Salmon,A,Odd
Find the odd number letters word from the given alternative ,Turban,Skirt,Sari,Frock,A,Odd
Find the odd number letters word from the given alternative ,Travelled,Sailed,Walked,Rode,A,Odd
Find the odd number letters word from the given alternative ,Tortoise,Alligator,Snail,Oyster,C,Odd
Find the odd number letters word from the given alternative ,Bangalore,Nagpur,Bhopal,Ranchi,B,Odd
Find the odd number letters word from the given alternative ,Sailor,Tailor,Goldsmith,Blacksmith,A,Odd
Find the odd number letters word from the given alternative ,Broker,Salesman,Customer,Hawker,C,Odd
Find the odd number letters word from the given alternative ,Day,Fortnight,Calendar,Month,C,Odd
Find the odd number letters word from the given alternative ,Triangle,Rectangle,Circle,Square,C,Odd
Find the odd number letters word from the given alternative ,Telescope,Transistor,Taperecorder,Telephone,A,Odd
Find the odd number letters word from the given alternative ,Pigeon,Crow,Parrot,Kiwi,D,Odd
Find the odd number letters word from the given alternative ,Ear,Kidney,KLungs,Liver,A,Odd
Find the odd number letters word from the given alternative ,Probe,Exploration,Deliberation,Investigation,C,Odd
Find the odd number letters word from the given alternative ,Nimitz,Yamamoto,Nelson,Montgomery,D,Odd
Find the odd number letters word from the given alternative ,Manipur,Kohima,Sikkim,Mizoram,B,Odd
Find the odd number letters word from the given alternative ,Kite,Eagle,Hawk,Vulture,B,Odd
Find the odd number letters word from the given alternative ,Mother,Grandfather,Father,Wife,D,Odd
Find the odd number letters word from the given alternative ,DEB,HIF,NOL,RTP,D,Odd
Find the odd number letters word from the given alternative ,CHG,LMM,BBC,HEG,D,Odd
Find the odd number letters word from the given alternative ,HJN,JLP,PRU,QSW,C,Odd
Find the odd number letters word from the given alternative ,CXGT,EVBY,DXEY,AZDW,D,Odd
Find the odd number letters word from the given alternative ,MKGA,PNID,RPLF,VTPJ,B,Odd
Find the odd number letters word from the given alternative ,Medium,Average,Mediocre,Terrible,D,Odd
Find the odd number letters word from the given alternative ,Rectangle,Square,Cube,Triangle,C,Odd
Find the odd number letters word from the given alternative ,Polyester ,Cotton ,Terylene,Nylon,B,Odd
Find the odd number letters word from the given alternative ,Cement,Paste,Oil,Glue,C,Odd
Find the odd number letters word from the given alternative ,Veena,Sitar,Drum,Guiter,C,Odd
Find the odd number letters word from the given alternative ,"(52, 142)","(54, 126)","(56, 168)","(58, 184)",C,Odd
Find the odd number letters word from the given alternative ,21:24,28:32:00,54 : 62,70 : 80,C,Odd
Find the odd number letters word from the given alternative ,"2, 3, 6","6, 1, 6","3, 3, 9","6, 2, 5",D,Odd
Find the odd number letters word from the given alternative ,0.566666667,0.622916667,0.708333333,0.755555556,B,Odd
Find the odd number letters word from the given alternative ,"3, 9, 6, 15","6, 18, 12, 30","4, 16, 12, 24","12, 36, 24, 60",C,Odd
Find the odd number letters word from the given alternative ,House,Apartment,Society,Building,C,Odd
Find the odd number letters word from the given alternative ,Teach,Instruct,Educate,Explain,B,Odd
Find the odd number letters word from the given alternative ,Sketch,Paper,Poster,Diagram,B,Odd
Find the odd number letters word from the given alternative ,Basket,Purse,Bag,Hat,D,Odd
Find the odd number letters word from the given alternative ,Milk,Soda water,Cold drink,Beer,A,Odd
Find the odd number letters word from the given alternative ,CGON,FJQP,HLTS,LPXW,B,Odd
Find the odd number letters word from the given alternative ,AEGC,HLNJ,OSVQ,VZBX,C,Odd
Find the odd number letters word from the given alternative ,SUWY,MOQS,CEGI,HJMO,D,Odd
Find the odd number letters word from the given alternative ,JKST,GHQR,ABKL,DENO,A,Odd
Find the odd number letters word from the given alternative ,FJOU,EINT,JNRX,ADHM,C,Odd
Find the odd number letters from the given alternatives ,ABYZ,CDWX,EFUV,GHTV,D,Odd
Find out the pair of numbers that does not belong to the group for lack of common property ,16-18,56-63,96-108,86-99,D,Odd
Four words are given out of which three are same in a certain way while the rest one is different Find out the different one ,Teacher,Principal,student,Lecturer,C,Odd
Four words are given out of which three are same in a certain way while the rest one is different Find out the different one ,Bird,Kite,Crow,Sparrow,A,Odd
Four words are given out of which three are same in a certain way while the rest one is different Find out the different one ,Bowl,Spoon,Cup,Bouquet,D,Odd
Four words are given out of which three are same in a certain way while the rest one is different Find out the different one ,Beam,Pilar,House,Wall,C,Odd
Four words are given out of which three are same in a certain way while the rest one is different Find out the different one ,Delhi,Mumbai,Kolkata,Rangoon,D,Odd
Four words are given out of which three are same in a certain way while the rest one is different Find out the different one ,Square,Triangle,Area,Rectangle,C,Odd
Four pairs of words are given out of which the words in three pairs are related in some way and words in one pair are different Find out that pair which is differently related ,Night-Day,Sun-Moon,White-Black,Light-Dark,B,Odd
Four pairs of words are given out of which the words in three pairs are related in some way and words in one pair are different Find out that pair which is differently related ,Camels and Roar,Dogs and Bark,Birds and chirp,Horse and Neigh,A,Odd
Find the odd number letters word from the given alternative ,Jul-84,6 - 108,May-75,Mar-99,A,Odd
Find the odd number letters word from the given alternative ,117:13:00,162:18:00,171:19:00,304:16:00,D,Odd
Find the odd number letters word from the given alternative ,0.825,1.054166667,0.888888889,26 : 156,C,Odd
Find the odd number letters word from the given alternative ,8-Feb,27-Mar,Apr-32,5 - 125,C,Odd
Find the odd number letters word from the given alternative ,133 - 98,150 - 115,182 - 140,188 - 153,C,Odd
