Question,A,B,C,D,Answer,Q
Find out whether there is any grammatical error in below sentence ,Though child marriage,has been banned,the custom still prevailed among some groups in India,No error,C,Correction
Find out whether there is any grammatical error in below sentence ,My papa is,in bad mood,today,No error,B,Correction
Find out whether there is any grammatical error in below sentence ,The warden,forbade the student,from leaving the hostel,No error,D,Correction
Find out whether there is any grammatical error in below sentence ,He couldn't but help,shedding tears at the plight of the villagers,rendered homeless by a devastating cyclone,No error,A,Correction
Find out whether there is any grammatical error in below sentence ,He will certainly help you, if you will ask him,in a pleasant manner,No error,B,Correction
Find out whether there is any grammatical error in below sentence ,The brand propositon now therefore had to be that Keokarpin Antiseptic Cream is more effective,because it penetrates deepdown (beinglight and non-sticky) and works from within,"(because of its ayurvedic ingredients) to keep skin blemish, free and helps cope with cuts nicks, burns and nappy rash",No error,A,Correction
Find out whether there is any grammatical error in below sentence ,Will you please buy,some jaggery for me,if you go to the market?,No error,D,Correction
Find out whether there is any grammatical error in below sentence ,Most of the members at the meeting felt,that the group appointed for investigating the case,were not competent to do the job efficiently,No error,C,Correction
Find out whether there is any grammatical error in below sentence ,In spite of several reminders,he did not so far send,any reply to my letters,No error,B,Correction
Find out whether there is any grammatical error in below sentence ,As much as I admire him for his sterling qualities,I cannot excuse him for,being unfair to his friends,No error,A,Correction
Find out whether there is any grammatical error in below sentence ,Please try to understand,"that the dispute on this issue is between my brother and myself,",and concerns nobody else,No error,B,Correction
Find out whether there is any grammatical error in below sentence ,All the furnitures have been,sent to the new house,located in a village,No error,A,Correction
Find out whether there is any grammatical error in below sentence ,It does not matter how you do it;,what I want is that,you should finish the work within a month,No error,B,Correction
Find out whether there is any grammatical error in below sentence ,The method suggested in the lecture,enables a student to learn more quickly,and to have remembered for a longer period of time,No error,C,Correction
Find out whether there is any grammatical error in below sentence ,My friend asked me,if I can lend him my Parker pen,for a few days,No error,B,Correction
Find out whether there is any grammatical error in below sentence ,The test will not need,more than one and half hour,to finish,No error,B,Correction
Find out whether there is any grammatical error in below sentence ,The school is,within hundred yards,from the church,No error,B,Correction
Find out whether there is any grammatical error in below sentence ,His father died of cholera,"but his mother also,","though very weak, is out of danger",No error,B,Correction
Find out whether there is any grammatical error in below sentence ,In these days of inflation,a ten rupee's note will not buy you,even an ordinary meal,No error,B,Correction
Find out whether there is any grammatical error in below sentence ,He persisted,to do it,in spite of my advice,No error,B,Correction
Find out whether there is any grammatical error in below sentence ,"The long-awaited moment at last came,",and we set out for the station,as merry a band of children as I have ever seen before or since,No error,C,Correction
Find out whether there is any grammatical error in below sentence ,Our conception of,what should a science of mental life be,has changed considerably since James' time,No error,B,Correction
Find out whether there is any grammatical error in below sentence ,He is not coming tomorrow,as he is having a pain in the chest,and has to see a doctor,No error,C,Correction
Find out whether there is any grammatical error in below sentence ,Locke's treatises on government toleration and education,show a mind fully awake in,the possibilities of social reconstruction,No error,B,Correction
Find out whether there is any grammatical error in below sentence ,You will get,all the information,if you read this booklet carefully,No error,A,Correction
Find out whether there is any grammatical error in below sentence ,None of the students attending your class,answered your questions,did they?,No error,C,Correction
Find out whether there is any grammatical error in below sentence ,An animal,can be just as unhappy in a vast area,or in a small one,No error,C,Correction
Find out whether there is any grammatical error in below sentence ,He is working in,a bank in New Delhi,for the past several months.,No error,A,Correction
Find out whether there is any grammatical error in below sentence ,A small baby breathes about,45 times per minute while,a child of about six years breathes about 25 times per minute,No error,D,Correction
Find out whether there is any grammatical error in below sentence ,I have read,too many books,by R . K . Narayan,No error,B,Correction
Find out whether there is any grammatical error in below sentence ,He was sure,that he should,win the Prize,No error,B,Correction
Find out whether there is any grammatical error in below sentence ,He is,too intelligent,to make a mistake,No error,D,Correction
Find out whether there is any grammatical error in below sentence ,He fell from a running train,and would have died,if the villagers did not get him admitted in the nearby hospital immediately,No error,C,Correction
Find out whether there is any grammatical error in below sentence ,"Since the attachment of airconditioned sleeping cars to all important trains,","travelling became very pleasant,",especially during the summer season,No error,B,Correction
Find out whether there is any grammatical error in below sentence ,If I will have the time,I shall try and make it,to the zoo this afternoon,No error,A,Correction
Find out whether there is any grammatical error in below sentence ,We are four brothers and sisters living in this house,but neither of us is,satisfied with it,No error,B,Correction
Find out whether there is any grammatical error in below sentence ,"A leading textile manufacturer, one of the fastest growing in the industry",is looking for a marketing manager,to look up the marketing network of the company,No error,C,Correction
Find out whether there is any grammatical error in below sentence ,Not one of the hundreds,of striking workers,were allowed to go near the factory,No error,C,Correction
Find out whether there is any grammatical error in below sentence ,The single biggest gainer in this process,was ITC's Gold Flake Kings sales are estimated,to have moved up from 50 million to 200 million sticks per month during 1987 and last year,No error,B,Correction
Find out whether there is any grammatical error in below sentence ,They left,their luggages,at the railway station,No error,B,Correction
Find out whether there is any grammatical error in below sentence ,Salim and Antony are such good friends,that one won't go to the pictures,without his coming too,No error,C,Correction
Find out whether there is any grammatical error in below sentence ,She is,five years,senior than me,No error,C,Correction
Find out whether there is any grammatical error in below sentence ,The President had hardly spoken,a few words,when the microphone stopped functioning,No error,D,Correction
Find out whether there is any grammatical error in below sentence ,At present juncture,"however, the supercomputer",would be a costly toy,No error,A,Correction
Find out whether there is any grammatical error in below sentence ,"The crews were on board,",and they soon busied themselves,in preparing to meet the storm,No error,C,Correction
Find out whether there is any grammatical error in below sentence ,Troy was taken by Greeks,this formed the basis of a story,which has become famous,No error,A,Correction
Find out whether there is any grammatical error in below sentence ,I am much pleased,to know that,you have topped the list,No error,A,Correction
Find out whether there is any grammatical error in below sentence ,He has not been attending,English classes,since one month,No error,C,Correction
Find out whether there is any grammatical error in below sentence ,He enquired me,why I had not seen him the previous day,as I had promised to do,No error,B,Correction
Find out whether there is any grammatical error in below sentence ,I was there,many a time,in the past,No error,A,Correction
Find out whether there is any grammatical error in below sentence ,All the four sons,of the old man,quarrelled between themselves,No error,C,Correction
Find out whether there is any grammatical error in below sentence ,He wanted to work all night,but we saw that he was completely worn out,and so we persuaded him to stop,No error,B,Correction
Find out whether there is any grammatical error in below sentence ,Mr.Smith was accused for murder,but the court found him not guilty,and acquitted him,No error,A,Correction
Find out whether there is any grammatical error in below sentence ,It is easy to see that,a lawyer's demeanour in court,may be prejudicial against the interests of his client,No error,D,Correction
Find out whether there is any grammatical error in below sentence ,He is wiring,for the,last four hours,No error,A,Correction
Find out whether there is any grammatical error in below sentence ,She walked in,the room where the murder,had taken place,No error,A,Correction
Find out whether there is any grammatical error in below sentence ,Were he,to see you,he would have been surprised,No error,A,Correction
Find out whether there is any grammatical error in below sentence ,I could not convince them,because they persisted to suggest,that I was lying,No error,B,Correction
Find out whether there is any grammatical error in below sentence ,He ensured his bank manager,that he would soon,repay the loan,No error,A,Correction
Find out whether there is any grammatical error in below sentence ,A free press is not a privilege,but the organic necessity,in a free society,No error,B,Correction
Find out whether there is any grammatical error in below sentence ,He explained the matter,at great length,but I was not the wiser,No error,B,Correction
Find out whether there is any grammatical error in below sentence ,He will end up his work,in the city,by the end of the year,No error,A,Correction
Find out whether there is any grammatical error in below sentence ,Even though the shirt is rather expensive,but I wish to,purchase it with my own money,No error,B,Correction
Find out whether there is any grammatical error in below sentence ,Were you,given a choice,or you had to do it?,No error,A,Correction
Find out whether there is any grammatical error in below sentence ,The person which was,recommended for the position,did not fulfil the prescribed qualifications,No error,A,Correction
Find out whether there is any grammatical error in below sentence ,What does Professor Dhavan,spend so many hours,in the laboratory?,No error,A,Correction
Find out whether there is any grammatical error in below sentence ,The presumption that the average investor does not understand,or take interest in the affairs of the company,is not correct,No error,D,Correction
Find out whether there is any grammatical error in below sentence ,Shanghai is,bigger than any city,of the world,No error,B,Correction
Find out whether there is any grammatical error in below sentence ,She sang,very well,isn't it?,No error,C,Correction
Find out whether there is any grammatical error in below sentence ,I am sure that all my monthly expenses,would exceed the income,If I do not economic,No error,C,Correction
Find out whether there is any grammatical error in below sentence ,Whenever you go to a temple,you must put off,your shoes at the entrance.,No error,B,Correction
Find out whether there is any grammatical error in below sentence ,Having read a number of stories,about space travel,his dream now is about to visit the moon,No error,C,Correction
Find out whether there is any grammatical error in below sentence ,The party chief made it a point to state that,the Prime Minister and the Union Home Minister should also come,and they see what his party men had seen,No error,C,Correction
Find out whether there is any grammatical error in below sentence ,After leaving his office,he went directly,to a restaurant,No error,D,Correction
Find out whether there is any grammatical error in below sentence ,He was in a hurry,because he had an appointment,with the company's director,No error,D,Correction
Find out whether there is any grammatical error in below sentence ,A body of volunteers,have been organised,to spread the message of the saint,No error,B,Correction
Find out whether there is any grammatical error in below sentence ,When I get a cold,it takes me weeks,to shake it off,No error,A,Correction
Find out whether there is any grammatical error in below sentence ,Another reason for pharmaceutical companies beefing up their,OTC (Over the Country) divisions is that prescription drugs with proven safety records which have been reached,the end of the their patent protection periodare,allowed to be sold without a prescription. No error,B,Correction
Find out whether there is any grammatical error in below sentence ,In an English paper,examiners should give as much weightage to language,as they give to contents,No error,D,Correction
Find out whether there is any grammatical error in below sentence ,I am hearing,a lot about,the problem of AIDS these days,No error,A,Correction
Find out whether there is any grammatical error in below sentence ,Unless you stop to make noise at once,I will have no option but to,bring the matter to the attention of the police.,No error,A,Correction
Find out whether there is any grammatical error in below sentence ,He is generally,more hungry,than she is,No error.,D,Correction
Find out whether there is any grammatical error in below sentence ,Since India has gained Independence,49 years ago,much progress has been made in almost every field,No error,A,Correction
Find out whether there is any grammatical error in below sentence ,Emphasis on equality of life ensures,for the health and happiness,of every individual,No error,B,Correction
Find out whether there is any grammatical error in below sentence ,"There was very heavy rain last night,",and the rivers have overflown their banks,causing severe hardship to the people living by them,No error,B,Correction
Find out whether there is any grammatical error in below sentence ,Every motorist knows,road signs---whether symbols or colour codes--- have an immediacy,that neither the spoken nor the written word can match,No error,D,Correction
Find out whether there is any grammatical error in below sentence ,Supposing if,there is no bus,how will you get there?,No error,A,Correction
Find out whether there is any grammatical error in below sentence ,Because of the emergency help,that the patient received,he would have died,No error,A,Correction
Find out whether there is any grammatical error in below sentence ,Were you,given a choice,or you had to do it?,No error,A,Correction
Find out whether there is any grammatical error in below sentence ,The person which was,recommended for the position,did not fulfil the prescribed qualifications,No error,A,Correction
Find out whether there is any grammatical error in below sentence ,What does Professor Dhavan,spend so many hours,in the laboratory?,No error,A,Correction
Find out whether there is any grammatical error in below sentence ,The presumption that the average investor does not understand,or take interest in the affairs of the company,is not correct,No error,D,Correction
Find out whether there is any grammatical error in below sentence ,Shanghai is,bigger than any city,of the world,No error,B,Correction
Find out whether there is any grammatical error in below sentence ,There is still,little tea,left in the cup,No error,B,Correction
Find out whether there is any grammatical error in below sentence ,He says that,his car does,eight kilometers in a litre,No error,C,Correction
Find out whether there is any grammatical error in below sentence ,After opening the door,we entered into the room,next to the kitchen,No error,B,Correction
Find out whether there is any grammatical error in below sentence ,Can I lend,your pencil,"for a minute, please?",No error,A,Correction
Find out whether there is any grammatical error in below sentence ,Last month we celebrated,the wedding of our sister for whom,we have been looking for a suitable alliance for three years,No error,C,Correction
Find out whether there is any grammatical error in below sentence ,After the humiliating exposure,he hanged his head,in shame,No error,B,Correction
Find out whether there is any grammatical error in below sentence ,The eminent speaker's speech,was broadcasted over,all the major radio-stations,No error,B,Correction
Find out whether there is any grammatical error in below sentence ,The meeting adjourned abruptly,by the Chairman after,about three hours of deliberation,No error,A,Correction
Find out whether there is any grammatical error in below sentence ,The company has put up an advertisement,in newspapers,all over the country,No error,A,Correction
Find out whether there is any grammatical error in below sentence ,Will you lend me,little money,to tide over this crisis,No error,B,Correction
Find out whether there is any grammatical error in below sentence ,He gave them no money,nor did help them,in any way,No error,A,Correction
Find out whether there is any grammatical error in below sentence ,The Sharmas,are living in this colony,for the last eight years,No error,B,Correction
Find out whether there is any grammatical error in below sentence ,My wife has got,a new job,a month ago,No error,A,Correction
Find out whether there is any grammatical error in below sentence ,"The ability to plan,",organise and coordinate work is all fundamental,to working within deadline,No error,C,Correction
Find out whether there is any grammatical error in below sentence ,A group of friends,want to visit,the new plant as early as possible,No error,B,Correction
Find out whether there is any grammatical error in below sentence ,Sheela has scored a first class,"in her final exams,",isn't it?,No error,C,Correction
Find out whether there is any grammatical error in below sentence ,At the moment the house,was burgled the family,attended a night party in the neighbourhood.,No error,A,Correction
Find out whether there is any grammatical error in below sentence ,Scarcely had,I arrived than,the train left,No error,B,Correction
Find out whether there is any grammatical error in below sentence ,"Though he stoutly persisted in denying his involvement in the case,",the facts made it very clear,that he had hand in the cruel murder of his wife,No error,C,Correction
Find out whether there is any grammatical error in below sentence ,One of my favourite actor,is acting,in this play also,No error,A,Correction
Find out whether there is any grammatical error in below sentence ,He was in such hurry,that he didn't,wait for me,No error,A,Correction
Find out whether there is any grammatical error in below sentence ,Will you be,at Board meeting,on next Wednesday?,No error,C,Correction
Find out whether there is any grammatical error in below sentence ,Do you know,to play,the guitar?,No error,B,Correction
Find out whether there is any grammatical error in below sentence ,Few scientists changed,people's ideas as much as,Darwin with his Theory of Evolution,No error,A,Correction
Find out whether there is any grammatical error in below sentence ,The course provide,not only theoretical inputs,but also practical training,No error,A,Correction
Find out whether there is any grammatical error in below sentence ,A small baby breathes about,45 times per minute while,a child of about six years breathes about 25 times per minute,No error,D,Correction
Find out whether there is any grammatical error in below sentence ,I have read,too many books,by R . K . Narayan,No error,B,Correction
Find out whether there is any grammatical error in below sentence ,He was sure,that he should,win the Prize,No error,B,Correction
Find out whether there is any grammatical error in below sentence ,He is,too intelligent,to make a mistake,No error,D,Correction
Find out whether there is any grammatical error in below sentence ,He fell from a running train,and would have died,if the villagers did not get him admitted in the nearby hospital immediately,No error,C,Correction
Find out whether there is any grammatical error in below sentence ,To facilitate exports and improve sales in the domestic market,some of the improvised fabrics and garments fabricated out from them,are displayed in the main pavilion.,No error,B,Correction
Find out whether there is any grammatical error in below sentence ,Both of you two,can come with me,to the play tonight,No error,A,Correction
Find out whether there is any grammatical error in below sentence ,No sooner did the sun rise,when we took a hasty breakfast,and resumed the journey,No error,B,Correction
Find out whether there is any grammatical error in below sentence ,The charges in this hospital,are less than,the hospital near my house,No error,C,Correction
Find out whether there is any grammatical error in below sentence ,The brakes and steering failed,and the bus ran down the hill,without anyone being able control it,No error,C,Correction
Find out whether there is any grammatical error in below sentence ,The number of marks carried by each question,are indicated,at the end of the question,No error,B,Correction
Find out whether there is any grammatical error in below sentence ,There is no question,of my failing,in the examination,No error,B,Correction
Find out whether there is any grammatical error in below sentence ,She is,no longer popular as she has,a friends,No error,C,Correction
Find out whether there is any grammatical error in below sentence ,It is necessary,that everybody,must have a house,No error,C,Correction
Find out whether there is any grammatical error in below sentence ,Students should not take part,in party politics and political demonstrations,as they interfere in serious study,No error,C,Correction
Find out whether there is any grammatical error in below sentence ,It is unfortunate that,many youngsters get,addicted to gamble,No error,C,Correction
Find out whether there is any grammatical error in below sentence ,Kamala's fountain-pen,is as expensive,as Shyama,No error,C,Correction
Find out whether there is any grammatical error in below sentence ,"When we consider all the factors, which are many,",the number of school dropouts,are quite disturbing,No error,C,Correction
Find out whether there is any grammatical error in below sentence ,She has never,approve of him,working as a clerk,No error,B,Correction
Find out whether there is any grammatical error in below sentence ,"At the station,",I'll hire a coolie,to carry my baggages,No error,C,Correction
Find out whether there is any grammatical error in below sentence ,With little patience,you will be able to,cross this hurdle,No error,A,Correction
Find out whether there is any grammatical error in below sentence ,She was told,to give the award to whosoever,she thought has done the most for the downtrodden.,No error,C,Correction
Find out whether there is any grammatical error in below sentence ,At the end of the year,every student who had done adequate work,was automatically promoted.,No error,D,Correction
Find out whether there is any grammatical error in below sentence ,The reason why,he was rejected,was because he was too young.,No error,C,Correction
Find out whether there is any grammatical error in below sentence ,Since we are friends,there should be no secret,between you and I,No error,C,Correction
Find out whether there is any grammatical error in below sentence ,That house,is costing me,ten thousand rupees,No error,B,Correction
Find out whether there is any grammatical error in below sentence ,Firstly you should,think over the meaning of the words,and then use them,No error,A,Correction
Find out whether there is any grammatical error in below sentence ,It is true,that God helps those,who helps themselves,No error,C,Correction
Find out whether there is any grammatical error in below sentence ,"Happily, zoos were",unwilling to cooperate,in a scheme that was potentially harmful to animal welfare,No error,C,Correction
Find out whether there is any grammatical error in below sentence ,Neither he,nor his father is interested,in joining the party.,No error,D,Correction
Find out whether there is any grammatical error in below sentence ,I am thinking of,to go to Agra,for my cousin's marriage,No error,B,Correction
Find out whether there is any grammatical error in below sentence ,"In management, as you rise higher,",the problems you face become more and more unstructured and you can't just fall back on,the tools you had been,No error,B,Correction
Find out whether there is any grammatical error in below sentence ,Neeraj said,that he would rather fail than copying,in the examination,No error,B,Correction
Find out whether there is any grammatical error in below sentence ,I had hoped to have met him yesterday,to discuss the matter with him,"but he was not in his house, and so I could not meet him",No error,A,Correction
Find out whether there is any grammatical error in below sentence ,You will come,"to my party tomorrow,",isn't it?,No error,C,Correction
Find out whether there is any grammatical error in below sentence ,I wonder,how am I,to do it,No error,B,Correction
Find out whether there is any grammatical error in below sentence ,He is not to blame,for what has happened,for he is in no way connected with it,No error,A,Correction
Find out whether there is any grammatical error in below sentence ,Had you not,reached in time,he would have lost all our belongings,No error,C,Correction
Find out whether there is any grammatical error in below sentence ,The man told to her,that he had not brought his dog,out for a walk as he was afraid that it would rain,No error,A,Correction
Find out whether there is any grammatical error in below sentence ,If I am you,I would have seen to it,that I won the prize,No error,A,Correction
Find out whether there is any grammatical error in below sentence ,The method suggested in the lecture,enables a student to learn more quickly,and to have remembered for a longer period of time,No error,C,Correction
Find out whether there is any grammatical error in below sentence ,My friend asked me,if I can lend him my Parker pen,for a few days,No error,B,Correction
Find out whether there is any grammatical error in below sentence ,The test will not need,more than one and half hour,to finish,No error,B,Correction
Find out whether there is any grammatical error in below sentence ,The school is,within hundred yards,from the church,No error,B,Correction
Find out whether there is any grammatical error in below sentence ,His father died of cholera,"but his mother also,","though very weak, is out of danger",No error,B,Correction
Find out whether there is any grammatical error in below sentence ,The police broke upon the robbers,when they were in the lonely place,to divide their booty,No error,A,Correction
Find out whether there is any grammatical error in below sentence ,"Since it was his first election campaign, the candidate was confused;",none could clearly understand,either the principles he stood for or the benefits he promised,No error,D,Correction
Find out whether there is any grammatical error in below sentence ,Jayesh is getting,fatter because he,does not take exercise at all,No error,B,Correction
Find out whether there is any grammatical error in below sentence ,He loved,none but,his neighbour's daughter,No error,D,Correction
Find out whether there is any grammatical error in below sentence ,The criminal was,"caught, convicted the hung",in a short period of time,No error,C,Correction
Find out whether there is any grammatical error in below sentence ,The tall three girls,had left,the day before.,No error,A,Correction
Find out whether there is any grammatical error in below sentence ,When he was asked what is wrong with him,he said that he was not well,and asked for leave of absence for one day,No error,A,Correction
Find out whether there is any grammatical error in below sentence ,Wherever they go,Indians easily adapt to,local circumstances,No error,B,Correction
Find out whether there is any grammatical error in below sentence ,Remember that you are part of,the team and your success depends on the support,you are able to give and get from your other team members,No error,A,Correction
Find out whether there is any grammatical error in below sentence ,It is an established fact that the transcendental American poets and philosophers,who lived in the latter half of the nineteenth century,"were more influenced by Indian philosophy, in particular by Upanishadic Philosophy",No error,C,Correction
Find out whether there is any grammatical error in below sentence ,If a man diligently seeks to come into the contact,with the best that has been thought and said in this world,he will become simple and unselfish,No error,A,Correction
Find out whether there is any grammatical error in below sentence ,You must,remember me,to post this letter,No error,B,Correction
Find out whether there is any grammatical error in below sentence ,I shall certainly,write you,when I shall reach NewDelhi,No error,C,Correction
Find out whether there is any grammatical error in below sentence ,On the busy Ring Road,we witnessed a collusion,between a truck and an auto,No error,B,Correction
Find out whether there is any grammatical error in below sentence ,Mr.Praful Patel,is not attending his office,for the last one month,No error,B,Correction
Find out whether there is any grammatical error in below sentence ,A lot of travel delay is caused,due to the inefficiency and lack of good management,on behalf of the railways,No error,C,Correction
Find out whether there is any grammatical error in below sentence ,One of the members,expressed doubt if,the Minister was an atheist,No error,B,Correction
Find out whether there is any grammatical error in below sentence ,I have got ,my  M.Sc. degree ,in 1988,No error,A,Correction
Find out whether there is any grammatical error in below sentence ,Having received your letter,"this morning, we are writing ",to thank you for the same,No error,D,Correction
Find out whether there is any grammatical error in below sentence ,If  you lend him a book  ,he will lend it to some one else,and never you will get it back,No error,C,Correction
Find out whether there is any grammatical error in below sentence ,According to the Bible,it is meek and humble,who shall inherit the earth,No error,B,Correction
Find out whether there is any grammatical error in below sentence ,Do the roses in your garden smell ,more sweetly ,than those in ours,No error,B,Correction
Find out whether there is any grammatical error in below sentence ,Block of Residential flats,are coming up ,near our house,No error,A,Correction
Find out whether there is any grammatical error in below sentence ,You can get,all the information that you want,in this book,No error,B,Correction
Find out whether there is any grammatical error in below sentence ,The students were,awaiting for,the arrival of the chief guest,No error,B,Correction
Find out whether there is any grammatical error in below sentence ,Sixty miles,are,a good distance,No error,B,Correction
Find out whether there is any grammatical error in below sentence ,They have been,very close friends,until they quarrelled,No error,A,Correction
Find out whether there is any grammatical error in below sentence ,When the dentist came in,my tooth was stopped aching,out of fear that I might lose my tooth,No error,B,Correction
Find out whether there is any grammatical error in below sentence ,It is the duty of every citizen to do his utmost,to defend the hardly-won,freedom of the country,No error,B,Correction
Find out whether there is any grammatical error in below sentence ,No sooner did I open the door,"when the rain, heavy and stormy, rushed in",making us shiver from head to foot,No error,B,Correction
